artist_name,track_name,release_date,genre,lyrics
maria koterbska,cowboy jackie,1958,pop,feel night slip away toss turn like ship lose look eye youve hurt hold close like time cause thats theres reason cause need leave swear sorrow pain need sleep forever swear need world cold dont know youre reach theres hold time rush look eye hold close theres reason cause need leave swear sorrow pain need sleep forever swear lonely need need long long need crawl change need theres reason cause need
ricky nelson,unchained melody,1958,pop,darling hungred touch long lonely time time go slowly time need need speed darling hungred touch long lonely time time go slowly time need need speed
frankie laine,"rose, rose, i love you",1958,pop,ache heart future stand jetty steamer move away malaya stay eastern crowd dozens go rickshaw street cabaret hear life shall remember oriental music arm perfume flower tresses lotusscented breeze sway palm almond eye fragrant slender neath tropical sky cross seas home distant shore life shall remember oriental music arm perfume flower tresses lotusscented breeze sway palm leave ship kiss farewell nothin east east worlds apart leave leave heart ache heart future stand jetty steamer move away malaya stay stay
bobby darin,talk to me something,1958,pop,talk understand talk understand talk sweetly long year completely talk hold hand talk whisper talk whisper talk hold hand talk word long hear
ricky nelson,there goes my baby,1958,pop,go baby goin ride yeah go baby goin ride know lonesome talkin telephone awww talkin telephone lonely cause home time wastin talkin bout yeah fight dirty awww fight dirty talkin woman like talkin hollow yeah go baby goin ride awww go baby goin ride yeah know lonesome cause time wastin talkin bout go baby goin ride awww go baby goin ride yeah know lonesome cause yeah know lonesome
the everly brothers,"oh, so many years",1958,pop,years love know know keep lock inside heart smile tear darling love years night lonely room dear pray things turn right appear brush away tear darling love years pretend life dear time heart long near darling love years maybe fate lead path meet free anew sweet kiss dear lips banish fear darling love years
johnny mathis,when i am with you,1958,pop,dream dream come true sigh meet sweet occasion angels won抰 persuasion wish instrumental interlude pick wish
ricky nelson,i'll walk alone,1958,pop,walk tell truth lonely mind lonely heart tell lonely walk tell dream gather dream talk night hold tight near night prayer hear matter close eye walk send kiss guide walk walk near night prayer hear matter close eye walk send kiss guide walk walk
ricky nelson,down the line,1958,pop,lovin baby style gonna real darn drive cool wild wanna line yeah wanna love truly fine yeah wanna line wanna truly fine cool wrong cool twice go gonna roll roll line wanna right right time yeah gonna line wanna truly fine cool wrong cool twice go gonna roll roll line wanna right right time yeah gonna gonna cool wrong cool twice go gonna roll roll line yeah wanna right right time wanna line wanna truly fine cool wrong cool twice go gonna roll roll line wanna right right time yeah wanna right right time
billy vaughn,yours,1958,pop,waltz tempo hold arm dear dream cradle kiss tenderly choir angels sing instrumental break heart heart forever lips entwine heaven write music
jerry vale,all dressed up with a broken heart,1958,pop,dress break heart pretend arm bring charm game teardrops start realize true dress break heart teardrops start realize true dress break heart
buddy holly,changing all those changes,1958,pop,reconsider things say change change leave sweetheart change change leave change think untrue abut go wrong anothing change change leave stop think leave care know wrong reconsider things say change change leave
johnny mathis,no love (but your love),1958,pop,world desire shape destiny slave arm arm banish fear charm charm thousand years thrill heart know heart know
bobby darin,pretty betty,1958,pop,pretty ready pretty ready pretty ready pretty ready pretty ready yeah ready steady know girl name name pretty ready pretty ready yeah ready steady cute sweet pretty beat pretty ready pretty ready yeah ready steady explain feel inside want pretty pretty ready pretty ready yeah ready steady explain feel inside want pretty pretty ready pretty ready yeah ready steady ready steady steady
buddy holly,well...all right,1958,pop,right foolish right people know dream wish wish night light right right live right right lifetime right right go steady right people foolish kid ready come right right live right right lifetime right right right live right right lifetime right
johnny mathis,"wonderful, wonderful",1958,pop,walk hand hand breathe cool salty turn kiss eye heart feel thrill compare lips cling wonderful wonderful wonderful stand gaze earth turn melt arm darling moment share wonderful wonderful wonderful world wondrous things true wouldn mean quiet even lose world feel glow arm open aware treasure hold wonderful wonderful wonderful wonderful wonderful wonderful
buddy holly,i'm gonna love you too,1958,pop,go miss go kiss go go care tell go hold go go fellow take overlook go best hook say go happen someday go things go go go tell sweet things go heart sing go hear bell ring go go
johnny mathis,sleigh ride,1958,pop,hear sleigh bell jingle come lovely weather sleigh ride outside snow fall friends call youhoo come lovely weather sleigh ride giddyup giddyup giddyup look rid wonderland snow giddyup giddyup giddyup grand hold hand glide song wintery fairy land cheek nice comfy cozy snuggle close like bird feather road sing come lovely weather sleigh ride birthday party home farmer perfect end perfect sing songs sing single stop fireplace watch chestnuts feel world pass coffee pumpkin nearly like picture print currier ives wonderful things things remember live wonderful things things remember live hear sleigh bell jingle come lovely weather sleigh ride outside snow fall friends call youhoo come lovely weather sleigh ride giddyup giddyup giddyup look rid wonderland snow giddyup giddyup giddyup grand hold hand glide song wintery fairy land nice comfy cozy snuggle close like bird feather road sing come lovely weather sleigh ride lovely weather sleigh ride lovely weather sleigh ride lovely weather sleigh ride lovely weather sleigh ride
johnny mathis,the twelfth of never,1958,pop,need explain need darling like roses need rain long tell true twelfth love hold close hold close melt heart like snow till bluebells forget bloom till clover lose perfume till poets rhyme twelfth long long time twelfth long long time
jackie wilson,to be loved,1958,pop,care share lonely hours moments despair love love feel love kiss miss away today love feel love wish queen wish fame truly truly truly love things kiss miss away today love feel love love love feel love
johnny mathis,when sunny gets blue,1958,pop,get blue eye cloudy rain begin fall pitterpatter pitterpatter go matter sweet lover come get blue breathe sigh sadness like wind stir tree wind set leave swayin like violins playin weird haunt melodies people hear laugh smile affair lose smile change style memories fade pretty dream rise dream fell hurry hurry kiss away lonely tear hold near get blue hurry hurry kiss away lonely tear hold near get blue
buddy holly,words of love,1958,pop,hold close tell feel tell real word whisper soft true darling hear word want hear darling near word whisper soft true darling
ricky nelson,poor little fool,1958,pop,play hearts hasten little girl know fall poor little fool yeah fool poor little fool fool yeah play tease carefree devil eye hold close kiss heart lie poor little fool yeah fool poor little fool fool yeah tell care time give away heart poor little fool yeah fool poor little fool fool yeah go know lie leave break heart victory poor little fool yeah fool poor little fool fool yeah play game hearts think play foolish game poor little fool yeah fool poor little fool fool yeah poor little fool yeah fool poor little fool poor little fool
frankie laine,high noon,1958,pop,forsake darlin wed forsake darlin know fate await know brave face hat coward craven coward coward grave tear twixt duty posin lose fairhaired beauty look hand near high noon state prison vow life afraid death shall leave forsake darlin promise forsake darlin grievin think leavin need
buddy holly,"blue days, black nights",1958,pop,blue days black nights blue tear fall dear go blue days black nights heart keep call dear memories sorry give reason doubt go leave blue memories think blue days black nights realise miss know time blue
buddy holly,take your time,1958,pop,time know time time late heart string sing like string twine time time time spend time time till time time know time
johnny mathis,winter wonderland,1958,pop,sleigh bell ring list snow glist beautiful sight tonight walkin winter wonderland go away blue stay sing song walkin winter wonderland meadow build snowman pretend parson marry later conspire dream face unafraid plan walkin winter wonderland grind lie mantle white heaven diamonds shine night hearts thrillin spite chill weather know season know clime romance blossom time open walkin hopin sleigh bell ring list snow glist beautiful sight tonight walkin winter wonderland go away blue stay sing song walkin winter wonderland meadow build snowman pretend circus clown lot mister snowman kiddies knock snow thrillin nose get chillin frolic play eskimo walkin winter wonderland walkin winter wonderland winter wonder winter wonderland winter winter wonder wonderland
buddy holly,little baby,1958,pop,little baby baby heart look wohwoh little baby baby little baby go eye leave sigh maybe baby bunch
buddy holly,valley of tears,1958,pop,want belong hearts break kiss song spend rest days dear care understand valley tear soft word speak sweet mind spend rest days dear care understand valley tear
frankie lymon,diana,1958,pop,young darling tell care cause forever pray free bird tree stay thrill hold close darling heart stay darlin lover tell heart ohoh ohoh ohoh heart tear apart hold love arm feel give charm hold darling hoho hold tight squeeze baby witha stay
the everly brothers,long time gone,1958,pop,cheat lonely try want leave long time go long time go long time go leave long time go gonna gonna weepin gonna blue regret see leavin cause leave long time go long time go long time go leave long time go face tear sorrow miss call baby tomorrow cause leave long time go long time go long time go leave long time go
the everly brothers,roving gambler,1958,pop,rove gambler gamble meet deck card money money money weeks fell pretty little girl fell fell fell take parlour cool whisper momma gamble gamblin gamblin daughter dear daughter treat leave dear mother gambler gambler gambler gamble gamble spain goin gamble game gamble game gamble game mother dear mother know gamble human tongue tell human tongue tell human tongue tell hear train acoming come round curve awhistling ablowing strain nerve strainin nerve strainin nerve mother dear mother tell comin gamble gamble gamble rove gambler gamble meet deck card money money money
buddy holly,listen to me,1958,pop,listen hold tight right hold darling listen closely eye reveal true listen listen closely tell star want tenderly bright star heaven know sweet sweethearts listen hear hearts nearer hold darling listen closely listen listen listen listen
buddy holly,you are my one desire,1958,pop,desire heart eye lips smile life worthwhile know true
buddy holly,love me,1958,pop,baby know hop baby leave eye hop baby baby baby baby true night life pray hop baby
perry como,love letters,1958,pop,letter straight heart near apart night write memorize line kiss sign darling read right start letter straight heart instrumental bridge kiss sign darling read right start letter straight heart
the drifters,drifting away from you,1958,pop,carefree worry start cause drift away drift away dear plain heart cold want free come come need near drift away darlin fool listen darlin walk life like drift away know know feelin tell answer yeah heart happiness drift away drift away
the drifters,moonlight bay,1958,pop,sailin moonlight hear voice ring steal heart away sing sweet song moonlight sailin moonlight hear voice ring steal heart away sing sweet song moonlight sailin moonlight hear voice ring steal heart away sing sweet song moonlight moonlight
the platters,i'll take you home again kathleen,1958,pop,home ocean wild wide heart roses leave cheek watch fade away voice speak tear bedim love eye heart feel pain field fresh green home heart feel pain field fresh green home
the platters,my serenade,1958,pop,serenade begin night play string heart serenade delight kiss help play sweet strong play soft hearts begin glow play serenade music thrill serenade serenade serenade serenade serenade
the platters,sleepy time gal,1958,pop,sleepy time turn night sleepy time dance even away silvery fade sight little kiss whisper goodnight get late dear pillow waitin sleepy time dance sleepy time cottage learn cook know stay home play home clock sleepy time sleepy time dance sleepy time cottage learn cook know stay home play home clock sleepy time stay home play home clock sleepy time
the platters,try a little tenderness,1958,pop,weary weary see shaggy dress weary little tenderness know wait anticipate things possess little tenderness sentimental griefs care word soft gentle make easier bare regret forget happiness easy little tenderness sentimental griefs word soft gentle easier bare regret cause heart forget happiness easy little tenderness
mantovani,"god rest ye merry, gentlemen",1958,pop,rest gentlemen dismay remember savior bear christmas save satan power go astray tide comfort comfort tide comfort heavenly father bless come unto certain shepherd bring tide bethlehem bear fear say affright bear savior pure virgin bright free trust satan power lord sing praise place true brotherhood embrace holy tide christmas doth bring redeem
jerry vale,all of me,1958,pop,good lips want lose arm goodbyes leave eye dear take heart goodbyes leave eye dear take heart
the platters,that old feeling,1958,pop,night feel come sight feel moment pass felt thrill catch heart stand feel yearn know spark burn romance foolish start feel heart feel yearn know spark burn romance foolish start feel heart
the platters,for the first time,1958,pop,time time time time happiness moment rapture moment live cloud time time thrill time time time time time time time happiness moment rapture moment live cloud time time thrill time time time time
ricky nelson,believe what you say,1958,pop,believe goin steady believe kiss believe believe believe yeah believe pretty baby believe goin steady thing baby want know rockin slow toetotoe gonna till believe believe believe yeah believe pretty baby believe goin steady believe miss believe kiss believe believe believe yeah believe pretty baby believe goin steady kiss baby roll eye funny feelin hypnotize chill spine tellin everybody believe believe believe believe pretty baby believe goin steady yeah believe believe yeah believe believe pretty baby believe goin steady
ricky nelson,my bucket's got a hole in it,1958,pop,bucket hole bucket hole bucket hole beer go mountain look see crowd fish beep cause bucket hole bucket hole bucket hole beer stand corner bucket hand waitin woman cause bucket hole bucket hole bucket hole beer baby buy run board cause bucket hole bucket hole bucket hole beer
frankie laine,jealousy (jalousie),1958,pop,jealousy jealousy night torture wonder spell know heart music start peace depart moment play languorous strain surrender charm jealousy torture ecstasy mystery pain dance tango heart beat sway eye answer dream soft word cruel lips fear music shatter spell lend believe eye deceive tango
the platters,it's raining outside,1958,pop,inside outside inside outside darling rain outside forgive soren rain outside arm return hold near darling heart learn dearly darling kind leave outside outside heart inside ring heart heart cry die die inside rain outside inside outside inside outside ring heart heart cry die die inside rain outside inside inside outside
jerry lee lewis,good night irene,1958,pop,saturday night marry wife settle wife part go stroll goodnight goodnight goodnight goodnight goodnight dream live country live promotion jump river drown goodnight goodnight goodnight goodnight dream
johnny mathis,blue christmas,1958,pop,blue christmas blue think decorations green christmas tree dear blue snowflakes start fall blue memories start call doin right christmas white blue blue blue blue christmas instrumental break doin right christmas white blue blue christmas
the platters,whispering wind,1958,pop,whisper wind whisper word want hear whisper wind heart hurt bring near yearn sound laughter long afterglow whisper wind whisper wind bring hop pin whisper wind whisper like hear whisper come true whisper wind whisper wind whisper wind bring hop pin whisper wind whisper like hear whisper come true whisper wind
jackie wilson,as long as i live,1958,pop,long live hour years remember forever dear long live easy say night part forget forget wonder heart regret long live hour years remember forever dear long live think night part life sound funny forget happiness long live hour years remember forever dear long live
jackie wilson,right now!,1958,pop,right hand right lips command right lovers land baby leave post kiss feel coast coast right baby need soul satisfy great desire right world break right star tumble blue right long right time place right ride outer space right wild embrace soul satisfy great desire time wine flow free time lover right come
frankie laine,granada,1958,pop,granada fall spell speak fascinate tale tell world long forget weave silent magic granada today greet sigh granada remember splendor granada hill wanderr entrance beauty entrance land flower song start granada envy blush snowclad sierra nevada soon welcome star thousand guitars play soft habanera moonlit granada live yesterday romantic
frankie laine,your cheatin' heart,1958,pop,cheat heart weep sleep sleep come night cheat heart tell tear come like fall rain toss walk floor cheat heart tell cheat heart pine someday crave throw away time come blue cheat heart tell tear come like fall rain toss walk floor cheat heart tell
the platters,but not like you,1958,pop,like like remind remind find touch dream recall like pass matter memory start grow hearted know like matter memory start grow hearted know like
jackie wilson,danny boy,1958,pop,pip pip call mountainside summer go roses fall bide pip call mountainside summer go roses fall abide come summer meadow valley hush white snow pip call mountainside summer go roses fall abide come summer meadow valley hush white snow
frankie laine,that's my desire,1958,pop,spend night rendezvous reminisce desire meet gypsies play dance till break desire little glass wine gaze eye divine feel touch lips press hear whisper time desire hear whisper time desire desire
ricky nelson,don't leave me,1959,pop,baby understand wanna lovin leave baby leave leave baby goodbye dance picture doggon sure leave baby leave leave baby goodbye someday little time dream come true leave baby leave yeah baby leave baby leave baby understand wanna lovin leave baby leave leave baby goodbye dance picture doggon sure leave baby leave leave baby goodbye someday little time dream come true leave baby leave yeah baby leave baby leave
jerry vale,"promises, promises",1959,pop,heart want heart promise kiss winter summer fall apart near heart moment hour love start beat heart promise kiss winter summer fall apart near heart moment hour love start beat heart
jerry vale,moonglow,1959,pop,moonglow blue moonglow straight hear sayin dear hold fast start prayin lord float right heavenly songs come moonglow blue remember moonglow give instrumental moonglow blue remember moonglow give moonglow give
neil sedaka,i belong to you,1959,pop,kiss lips life begin concern kiss convince rove days belong come life like linger heart soul open heart belong heaven tell heaven offer tingle single time hold near look eye clear belong offer tingle single time hold near look eye clear belong
neil sedaka,crying my heart out for you,1959,pop,stand teardrops eye look window lovers pass stand cry heart look window moon lovely night romance perfect night stand cry heart remember know walk hand hand street girl smile meet walk hand hand street stand cry heart
neil sedaka,moon of gold,1959,pop,moon gold love sweetheart say goodbye moonlight kiss share memory light glow tender word whisper promise come true know soon leave long moon glow go sweetheart memory grow cold tarnish moon gold go sweetheart memory grow cold tarnish moon gold
neil sedaka,i waited too long,1959,pop,wait long apart tell feel heart somebody come fool wait long life play wait game go fool wait long wasn smart wasn wise tear eye life life regret play hard know wrong fool wait long fool wait long long
neil sedaka,forty winks away,1959,pop,fall asleep night cause light matter wink away away matter believe darling oceans cross dream cause wink away away land enchantment pillowcase cause know sweet embrace till come home arm stay kinda nice know turn light wink away away away
neil sedaka,no vacancy,1959,pop,livin house makin highway rippin buildin gotta place week sleepin street lookin vacancy long walkin round vacancy walkin walkin vacancy searchin round vacancy apartment vacancy dishwasher place stay place rent sure crime cold water flat build time paint peelin right wall good golly bathroom lookin vacancy budget scrimp save givin wine women song roof head condition dead lookin vacancy long walkin round vacancy walkin walkin vacancy searchin round vacancy apartment vacancy dishwasher place stay long walkin round vacancy long walkin round vacancy long walkin round vacancy long walkin round vacancy long walkin round vacancy
ricky nelson,blood from a stone,1959,pop,baby baby shoulda know blood stone true baby baby joke smoke true look good fine outside spin hearts desire awful baby baby shoulda know blood stone true yeah baby baby shoulda know blood stone true yeah yeah
neil sedaka,going home to mary lou,1959,pop,ding dong ding dong click clack chugga chugga ding dong ding dong ding dong ding dong click clack chugga chug go home station early morning wait tennessee arm ring blow whistle cause want world know head home honeycomb miss ding dong ding dong click clack chugga chugga ding dong ding dong go ding dong ding dong click clack chugga chug go home whoo spin wheel agoing move line mile bring closer sweet little ding dong ding dong click clack chugga chugga ding dong ding dong ding dong ding dong click clack chugga chug go home ding dong ding dong click clack chugga chugga ding dong ding dong go ding dong ding dong click clack chugga chugga go home go home go home go home go home go home
cliff richard & the shadows,i'm walkin',1959,pop,walk dream think constantly like flow stream memory haunt constantly shadow fall drive mind longer near heart see sunset share rain patter tree remind constantly whisper breeze bird bring song sure keep burn stay flame flame burn bright night constantly apart constantly deep heart
shirley bassey,i've got you under my skin,1959,pop,skin deep heart deep heart skin try say affair resist baby know skin sacrifice come sake havin near spite warnin voice come night repeat repeat know little fool mentality reality time think make stop begin cause skin sacrifice come sake havin near spite warn voice come night repeat yell know little fool mentality step reality time think make stop begin cause skin skin
neil sedaka,walk with me,1959,pop,walk little darling walk little satisfy walk hold hand walk walk want near walk sincerely melt heart hold hand walk walk glow moonlight style walk door church corner walk right isle walk little darling walk little satisfy walk hold hand walk walk walk darling come come walk yeah yeah satisfy walk hold hand walk
neil sedaka,as long as i live,1959,pop,long live long need long live arm dream come true beat heart long live hold tight night world know nearness divine long live arm dream come true beat heart long live
neil sedaka,the same old fool,1959,pop,change fool think heart miss think heart tell realise tell fool think suddenly helpless change fool kind hurt start hold close moment gladly break heart fool think suddenly helpless change fool fool
jackie wilson,love is all,1959,pop,everybody live people understand neighbour like brother come join band need understand ring people know celebrate come feel hear need need butterfly ball ball nature countryside wear different face want hide easy easy butterfly ball easy need understand ring people know celebrate feel butterfly ball small free butterfly ball wall start fall lean sing butterfly ball butterfly ball
ghantasala,shiva shankari shivananda,1959,pop,score tie eighth pitcher die lay spike pitcher mound uniform tear number leave grind night turn cold colder moon star white bone stadium older scream older team season lose tarpaulin roll winter frost
lloyd price,i wish your picture was you,1959,pop,eye turn blue realize say know know hear forget stop pretend care know hear forget shame yeah shame face heaven everyday bring charm reach hand snake know hear forget shame yeah shame face heaven face shame yeah shame face heaven shame yeah shame face heaven
johnny mathis,stairway to the sea (scalinatella),1959,pop,deep night climb stairway pretend close watch stairway mist softly kiss lovers hide voice keep call lonely prisoner stairway wait return till memories burn pray stairway soon whisper wait return till memories burn pray stairway soon whisper
johnny mathis,embraceable you,1959,pop,embrace sweet embraceable embrace irreplaceable look heart grow tipsy bring charm want arm naughty baby come papa come papa sweet embraceable charm want arm naughty baby come papa come papa sweet embraceable
johnny mathis,let's love,1959,pop,let night young let life begin dream reality let press lips let kiss thrill divine realize arm invite thrill touch excite hearts reel feel let till time let leave world wonderful magic word let let let life begin dream reality let kiss thrill divine realize arm invite thrill touch excite hearts reel feel let till time let leave world wonderful magic word let let let
tony dallara,oceano,1959,pop,stun clarity peripheral vision know wasn fair offer opinion guess learn sooner slower learner wait shoe drop wait bottle tiny ocean tear tiny ocean tear tiny ocean tear write epitaph brand glorious past ask kiss feel like know complicate think give overrate tiny ocean tear tiny ocean tear tiny ocean tear think malicious tell difference bless window dress chase dollar step tiny ocean tear tiny ocean tear tiny ocean tear learn dead sing rooftop tenements tiny ocean tear tiny ocean tear tiny ocean tear tiny ocean tear tiny ocean tear
rania,منك بخاف,1959,pop,breathe heavy light head breathe heavy baby breathe heavy alright know girl like work work sweat feel drip spine gotta time anymore hand breathe heavy light head breathe heavy baby breathe heavy alright wanna stamina thing thing breath neck cool burn high anymore hand breathe heavy light head breathe heavy baby breathe heavy middle night outta breath recognize ability satisfy request middle night outta breath recognize ability satisfy request huffin puffin tell want drippity droppity stop come come breathe heavy breathe heavy breathe good good shit fall wonder wonder know wonder baby breathe
ira ironstrings,let it snow! let it snow! let it snow!,1959,pop,want want walk floor mobile home feel like home leave tell come home forgive forget tire sleep freeze cold baby aren cool wait ponderosa trailer wasn apart break heart double wide double wide double wide paradise come double wide paradise double wide double wide paradise buy swim pool sear fill tear happiness matter cause treasure world mean aren girl inside castle size blue wait baby feel know leave porch light come home second honeymoon throw rib barbecue like
brenda lee,back in your own back yard,1959,pop,east come start think blue wait backyard castle spain window pane backyard east someday come weary heart start happiness lie right eye backyard feather blue wait backyard castle spain window pane backyard east happiness lie right eye backyard
johnny mathis,you better go now,1959,pop,better watch better better pout tellin santa comin makin list checkin twice gonna naughty nice santa comin see sleepin know awake know good good goodness sake better watch better better pout tellin santa comin somebody ringin doorbell shall answer tell away decorate christmas tree connect light thing plug train switch know train switch want christmas minute go go haircuts kid ahead sing right better watch better better pout tellin santa comin makin list checkin twice gonna naughty nice santa comin see sleepin know awake know good good goodness sake better watch better better pout tellin santa comin santa comin
johnny mathis,i'm just a boy in love,1959,pop,time time feel like walk things astound feel like walk night smile night life dream come true night smile night life dream come true
johnny mathis,secret love,1959,pop,moment moment moment live live moment touch imagine moment dream come true ordinary adventure sweet adventure know life rainbows learn secret miracle moment moment moment live live moment touch imagine moment dream come true life rainbows learn secret miracle moment moment moment live live moment touch imagine moment dream come true
johnny mathis,where are you?,1959,pop,heartache live inside cling instead tonight need tear pillow river lead ocean fall apart word break heart emotion take tie sorrow lose soul come come home darling know world hold tight leave world kiss goodnight goodbye goodbye goodbye goodbye things shin need tear pillow river lead ocean fall apart word break heart emotion take tie sorrow lose soul come come home darling know world hold tight leave world kiss goodnight goodbye goodbye goodbye goodbye
johnny mathis,faithfully,1959,pop,deep endless strong mighty tree eager heart keep beat moment know lips arm feel eternity faithful true eternity faithful true
connie francis,have yourself a merry little christmas,1959,pop,little christmas heart light year trouble sight little christmas yuletide year trouble away olden days golden days yore faithful friends dear near someday soon fat allow muddle little christmas little christmas yuletide year trouble away olden days someday soon
connie francis,i'll be home for christmas,1959,pop,home christmas plan snow mistletoe present tree christmas light gleam home christmas dream string snow mistletoe present tree christmas
lavern baker,"touch me, lord jesus",1959,pop,touch touch lord touch touch lord hand throb heartbeat feel power divine forever doubt thee cleanse dear saviour wholly thine guide guide jehovah veil sorrow save forever trust bail current chilly lead lead dear master home forever doubt thee cleanse dear saviour wholly thine
jackie wilson,happiness,1959,pop,sweetheart stray million away fish dish try hard thank tender memories wish happiness sweetheart guess
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
